secret_column,known_columns,num_known_columns,base_prec,base_recall,attack_prec,attack_recall,alc,base_count,attack_count,base_ci,base_ci_low,base_ci_high,base_n,attack_ci,attack_ci_low,attack_ci_high,attack_n
MSP,"[""AGEP"", ""DEAR"", ""DENSITY"", ""INDP"", ""NOC"", ""PINCP"", ""WGTP""]",7,0.7254901960784313,1.0,1.0,1.0,0.6372366883385662,51,51,0.23832375526134197,0.5905334923922092,0.8288572476535512,51,0.07004661989853167,0.9299533801014686,1.0000000000000002,51
NOC,"[""AGEP"", ""DEAR"", ""DENSITY"", ""INDP"", ""PINCP"", ""PWGTP"", ""SEX""]",7,0.66,0.9803921568627451,1.0,0.9803921568627451,0.6699852782451159,51,51,0.2540922472726731,0.5215382605023261,0.7756305077749992,50,0.07134759913335886,0.9286524008666414,1.0000000000000002,50
NOC,"[""AGEP"", ""DEAR"", ""DENSITY"", ""INDP"", ""PINCP"", ""PWGTP"", ""SEX""]",7,0.6470588235294118,1.0,1.0,1.0,0.6764564219700049,51,51,0.25379453093973925,0.5098605845450522,0.7636551154847915,51,0.07004661989853167,0.9299533801014686,1.0000000000000002,51
NPF,"[""AGEP"", ""DEAR"", ""DENSITY"", ""INDP"", ""PINCP_DECILE"", ""PUMA"", ""PWGTP""]",7,0.32653061224489793,0.9607843137254902,1.0,0.9607843137254902,0.8367271813140259,51,51,0.25413297683617986,0.21207497001811862,0.46620794685429845,49,0.07269781922049645,0.9273021807795035,1.0,49
NPF,"[""AGEP"", ""DEAR"", ""DENSITY"", ""INDP"", ""PINCP_DECILE"", ""PUMA"", ""PWGTP""]",7,0.3137254901960784,1.0,0.9607843137254902,1.0,0.7949511139056176,51,51,0.24699321065168894,0.2032767846552545,0.45026999530694345,51,0.12134197320075546,0.8678369434463774,0.9891789166471329,51
EDU,"[""AGEP"", ""DEAR"", ""DENSITY"", ""MSP"", ""PWGTP"", ""SEX"", ""WGTP""]",7,0.43137254901960786,1.0,1.0,1.0,0.7843049325413823,51,51,0.26233461782788203,0.30501236107909546,0.5673469789069775,51,0.07004661989853167,0.9299533801014686,1.0000000000000002,51
DENSITY,"[""AGEP"", ""DEAR"", ""DEYE"", ""DPHY"", ""DREM"", ""DVET"", ""EDU"", ""HISP"", ""HOUSING_TYPE"", ""INDP"", ""INDP_CAT"", ""MSP"", ""NOC"", ""NPF"", ""OWN_RENT"", ""PINCP"", ""PINCP_DECILE"", ""POVPIP"", ""PUMA"", ""PWGTP"", ""RAC1P"", ""SEX"", ""WGTP""]",23,1.0,1.0,1.0,1.0,0.0,51,51,0.07004661989853167,0.9299533801014686,1.0000000000000002,51,0.07004661989853167,0.9299533801014686,1.0000000000000002,51
OWN_RENT,"[""AGEP"", ""DEAR"", ""DEYE"", ""DPHY"", ""HISP"", ""PWGTP"", ""WGTP""]",7,0.3877551020408163,0.9607843137254902,1.0,0.9607843137254902,0.8061141904399837,51,51,0.26324988844743885,0.26429011711735667,0.5275400055647955,49,0.07269781922049645,0.9273021807795035,1.0,49
OWN_RENT,"[""AGEP"", ""DEAR"", ""DEYE"", ""DPHY"", ""HISP"", ""PWGTP"", ""WGTP""]",7,0.39215686274509803,1.0,0.9607843137254902,1.0,0.7520479659914006,51,51,0.2588750003429186,0.270273409817598,0.5291484101605166,51,0.12134197320075546,0.8678369434463774,0.9891789166471329,51
EDU,"[""AGEP"", ""DEAR"", ""DEYE"", ""DREM"", ""PINCP"", ""RAC1P"", ""WGTP""]",7,0.32653061224489793,0.9607843137254902,1.0,0.9607843137254902,0.8367271813140259,51,51,0.25413297683617986,0.21207497001811862,0.46620794685429845,49,0.07269781922049645,0.9273021807795035,1.0,49
