base_recall,attack_recall,base_prec,attack_prec,alc,base_prec_as_sampled,attack_prec_as_sampled,alc_as_sampled,alc_low,alc_high,base_si,base_si_low,base_si_high,base_n,attack_si,attack_si_low,attack_si_high,attack_n,secret_column,base_count,attack_count
0.5299145299145299,0.5470085470085471,0.955639965112239,0.853765977577698,-2.2782730218185905,0.9838709677419355,0.875,-6.609011823660957,-70.47135126327859,0.2457918630885825,0.08301433543827796,0.9141327973931,0.997147132831378,62,0.16302319157799483,0.7722543817887005,0.9352775733666954,64,DEAR,117,117
0.6410256410256411,0.6495726495726496,0.9629543966583679,0.863219816225145,-2.68310682954246,0.9866666666666667,0.881578947368421,-7.809151527141393,-83.71676145433644,0.11376338436448911,0.06937610440516706,0.9282663444557844,0.9976424488609514,75,0.14642398746612884,0.7900078224920806,0.9364318099582094,76,DEAR,117,117
0.7521367521367521,0.7521367521367521,0.9681981378796549,0.8702031787885645,-3.077591854936541,0.9886363636363636,0.8863636363636364,-8.968762423401373,-95.04016196853469,-0.02130404970251505,0.05958615360528119,0.9384050610770144,0.9979912146822956,88,0.13377763492084427,0.8033143613281423,0.9370919962489865,88,DEAR,117,117
0.8376068376068376,0.8461538461538461,0.951682453616354,0.8646389348227927,-1.8008299686240534,0.9693877551020408,0.8787878787878788,-2.9579083531516703,-18.082480292012434,0.17932753477873276,0.07570531060230468,0.9138297983152016,0.9895351089175063,98,0.1292911003999958,0.7999933846227948,0.9292844850227906,99,DEAR,117,117
0.9230769230769231,0.9145299145299145,0.9381201793742472,0.8653867463573894,-1.175199457171654,0.9537037037037037,0.8785046728971962,-1.6239301400226995,-8.869058509786306,0.3026927366672022,0.08389001042161959,0.8961751741634374,0.980065184585057,108,0.12443782394998604,0.8031678343823965,0.9276056583323825,107,DEAR,117,117
1.0,1.0,0.9261782380202498,0.8682510988718664,-0.7845829165538677,0.9401709401709402,0.8803418803418803,-0.9998328850749221,-5.516668306323826,0.38633418457405155,0.08908257445673584,0.8816369507918819,0.9707195252486177,117,0.11823481472275588,0.8091336915104884,0.9273685062332443,117,DEAR,117,117
0.10599078341013825,0.08755760368663594,0.9284416907747866,0.697010183777012,-2.7161817506869217,1.0,0.7368421052631579,-18.115120395048958,-33.34982247697251,0.13596204949132415,0.14311661845042678,0.8568833815495732,1.0,23,0.3698513855103259,0.5120844910218489,0.8819358765321749,19,DENSITY__discretized,217,217
0.20276497695852536,0.22119815668202766,0.9598521981207597,0.7507645482154266,-4.593548431084185,1.0,0.7708333333333334,-43.635083125679614,-69.66540774672004,-0.608898117312074,0.08029560375848066,0.9197043962415193,1.0,44,0.23231437823092216,0.6346073590999655,0.8669217373308876,48,DENSITY__discretized,217,217
0.31336405529953915,0.3225806451612903,0.9732643317399648,0.78439308127692,-6.565556568138545,1.0,0.8,-99.25567764883847,-152.97567723570495,-1.2516433905620346,0.053471336520070745,0.9465286634799295,1.0000000000000002,68,0.18511905247890115,0.6918335550374693,0.8769526075163705,70,DENSITY__discretized,217,217
0.5023041474654378,0.5023041474654378,0.9829785131243376,0.7880147096613022,-11.173046768588218,1.0,0.7981651376146789,-471.58955076669025,-669.9558502623112,-2.9936578728771464,0.034042973751325256,0.965957026248675,1.0000000000000002,109,0.1494960986501188,0.7132666603362428,0.8627627589863616,109,DENSITY__discretized,217,217
0.6820276497695853,0.6866359447004609,0.9873504283661076,0.7388095499848635,-19.52180796585515,1.0,0.7449664429530202,-3120.202894969853,-4044.326459004694,-6.560526934189693,0.025299143267784374,0.9747008567322154,0.9999999999999998,148,0.13875272434762376,0.6694331878110515,0.8081859121586753,149,DENSITY__discretized,217,217
0.7695852534562212,0.7557603686635944,0.9887572406393288,0.7323621367094044,-22.73895532368107,1.0,0.7378048780487805,-7946.905791373579,-10135.326994294719,-7.922121632077848,0.02248551872134208,0.9775144812786577,0.9999999999999998,167,0.13352406933108163,0.6656001020438636,0.7991241713749452,164,DENSITY__discretized,217,217
0.880184331797235,0.880184331797235,0.9901420907953957,0.7437879509191758,-24.958451790716058,1.0,0.7486910994764397,-19849.729726412144,-25063.282605110504,-8.890336968259804,0.019715818409208663,0.9802841815907913,1.0,191,0.12220680934341566,0.682684546247468,0.8048913555908837,191,DENSITY__discretized,217,217
0.9400921658986175,0.9400921658986175,0.9907586800956585,0.7357566208302673,-27.562957981260684,1.0,0.7401960784313726,-25219.365925725455,-31453.5064667949,-10.056678120051686,0.018482639808683143,0.9815173601913169,1.0,204,0.11956635697076257,0.675973442344886,0.7955397993156486,204,DENSITY__discretized,217,217
